,verb,agency,power
1114,leave,agency_equal,power_agent
1115,lecture,agency_pos,power_agent
1116,leer,agency_neg,
1117,lend,agency_equal,power_agent
1118,let,agency_equal,power_agent
1119,letter,agency_pos,power_equal
1120,level,agency_pos,power_agent
1121,lick,agency_pos,power_equal
1122,lie,agency_pos,
1123,lies to,agency_pos,power_equal
1124,lift,agency_pos,power_agent
1125,light,agency_pos,power_agent
1126,lighten,agency_pos,power_agent
1127,like,agency_equal,power_theme
1128,limit,agency_pos,power_agent
1129,limp,agency_neg,
1130,line,agency_pos,power_equal
1131,linger,agency_neg,
1132,link,agency_pos,power_equal
1133,list,agency_pos,power_equal
1134,listen,agency_pos,power_theme
1135,litter,agency_pos,power_agent
1136,live,agency_equal,power_equal
1137,lives on,agency_neg,power_equal
1138,load,agency_pos,power_agent
1139,locate,agency_pos,power_equal
1140,lock,agency_pos,power_agent
1141,lodge,agency_equal,
1142,loll,agency_neg,
1143,long,agency_neg,power_theme
1144,look,agency_equal,power_equal
1145,loom,agency_neg,
1146,loop,agency_pos,power_agent
1147,loose,agency_pos,power_agent
1148,loosen,agency_pos,power_agent
1149,lop,agency_pos,power_agent
1150,lose,agency_equal,power_theme
1151,lounge,agency_neg,
1152,love,agency_pos,power_equal
1153,low,agency_pos,
1154,lower,agency_pos,power_agent
1155,lug,agency_pos,power_theme
1156,lumber,agency_pos,
1157,lunge,agency_pos,
1158,lurch,agency_pos,power_agent
1159,lure,agency_pos,power_agent
1160,lurk,agency_neg,
1161,magnify,agency_pos,power_equal
1162,mail,agency_pos,power_agent
1163,maintain,agency_pos,power_agent
1164,make,agency_pos,power_agent
1165,man,agency_pos,power_agent
1166,manage,agency_pos,power_agent
1167,mandate,agency_pos,power_agent
1168,maneuver,agency_pos,power_agent
1169,mangle,agency_pos,power_agent
1170,manipulate,agency_pos,power_agent
1171,manufacture,agency_pos,power_agent
1172,march,agency_equal,
1173,mark,agency_pos,power_agent
1174,marry,agency_pos,power_equal
1175,marvels at,agency_equal,power_theme
1176,mash,agency_pos,power_agent
1177,mask,agency_pos,power_agent
1178,massage,agency_pos,power_theme
1179,mat,agency_equal,power_agent
1180,match,agency_pos,power_equal
1181,mate,agency_equal,power_equal
1182,materialize,agency_neg,
1183,matter,agency_neg,
1184,mean,agency_neg,power_equal
1185,measure,agency_pos,power_equal
1186,mediate,agency_pos,
1187,meet,agency_pos,power_equal
1188,melt,agency_pos,power_agent
1189,memorize,agency_equal,power_equal
1190,mend,agency_pos,power_agent
1191,mention,agency_equal,power_theme
1192,merge,agency_pos,power_agent
1193,mesmerize,agency_equal,power_agent
1194,messes up,agency_pos,power_agent
1195,mill,agency_pos,
1196,mime,agency_pos,power_theme
1197,mimic,agency_pos,power_theme
1198,mind,agency_equal,power_theme
1199,mingle,agency_pos,power_theme
1200,minimize,agency_pos,power_agent
1201,mirror,agency_equal,power_agent
1202,miss,agency_neg,power_theme
1203,mistake,agency_equal,power_equal
1204,misunderstand,agency_neg,power_theme
1205,mix,agency_pos,power_agent
1206,moan,agency_pos,
1207,mobilize,agency_pos,power_agent
1208,mock,agency_pos,power_agent
1209,modify,agency_pos,power_agent
1210,moisten,agency_equal,
1211,monitor,agency_neg,power_agent
1212,mop,agency_pos,power_equal
1213,motions to,agency_pos,power_equal
1214,motivate,agency_pos,power_agent
1215,mount,agency_pos,power_agent
1216,mourn,agency_pos,
1217,mouth,agency_pos,power_equal
1218,move,agency_pos,power_agent
1219,moves on,agency_pos,power_equal
1220,mow,agency_pos,power_agent
1221,muffle,agency_pos,power_agent
1222,mug,agency_pos,power_agent
1223,mull,agency_equal,
1224,multiply,agency_equal,power_agent
1225,mumble,agency_pos,power_equal
1226,munch,agency_pos,power_agent
1227,murder,agency_pos,power_agent
1228,murmur,agency_equal,power_equal
1229,muster,agency_pos,power_agent
1230,mute,agency_pos,power_agent
1231,mutilate,agency_pos,power_agent
1232,mutter,agency_equal,power_equal
1233,nail,agency_pos,power_agent
1234,name,agency_pos,power_agent
1235,narrow,agency_pos,power_equal
1236,navigate,agency_pos,power_agent
1237,near,agency_pos,power_equal
1238,need,agency_neg,power_theme
1239,neglect,agency_equal,power_agent
1240,negotiate,agency_pos,power_agent
1241,nestle,agency_pos,power_agent
1242,nibble,agency_pos,power_agent
1243,nod,agency_pos,
1244,nods to,agency_pos,power_theme
1245,nominate,agency_pos,power_agent
1246,nose,agency_pos,power_agent
1247,note,agency_equal,power_theme
1248,notice,agency_equal,power_equal
1249,notify,agency_pos,power_agent
1250,nudge,agency_pos,power_equal
1251,number,agency_pos,power_equal
1252,nurse,agency_pos,power_agent
1253,nuzzle,agency_pos,power_theme
1254,obey,agency_neg,power_theme
1255,object,agency_pos,
1256,objects to,agency_pos,power_theme
1257,oblige,agency_equal,power_theme
1258,obliterate,agency_pos,power_agent
1259,obscure,agency_pos,power_agent
1260,observe,agency_neg,power_equal
1261,obsesses over,agency_equal,power_theme
1262,obstruct,agency_pos,power_agent
1263,obtain,agency_pos,power_agent
1264,occupy,agency_pos,power_agent
1265,occur,agency_neg,
1266,offend,agency_pos,power_theme
1267,offer,agency_pos,power_agent
1268,offers to,agency_pos,power_theme
1269,omit,agency_pos,power_agent
1270,ooze,agency_equal,power_equal
1271,open,agency_pos,power_agent
1272,operate,agency_pos,power_agent
1273,oppose,agency_pos,power_equal
1274,order,agency_pos,power_agent
1275,organize,agency_pos,power_agent
1276,outlaw,agency_pos,power_agent
1277,outline,agency_pos,power_theme
1278,overcome,agency_pos,power_agent
1279,overflow,agency_neg,
1280,overhear,agency_equal,power_equal
1281,overlap,agency_equal,power_agent
1282,overlook,agency_neg,power_agent
1283,overmaster,agency_pos,power_agent
1284,oversee,agency_pos,power_agent
1285,overtake,agency_pos,power_agent
1286,overthrow,agency_pos,power_agent
1287,overturn,agency_pos,power_agent
1288,overwhelm,agency_pos,power_agent
1289,owe,agency_neg,power_theme
1290,own,agency_equal,power_agent
1291,pace,agency_pos,power_equal
1292,pack,agency_pos,power_agent
1293,pad,agency_pos,power_agent
1294,paddle,agency_pos,
1295,page,agency_pos,power_equal
1296,paint,agency_pos,power_agent
1297,pal,agency_equal,
1298,pan,agency_pos,power_agent
1299,panic,agency_pos,power_equal
1300,pant,agency_equal,
1301,paralyze,agency_pos,power_agent
1302,pardon,agency_pos,power_agent
1303,park,agency_pos,power_agent
1304,part,agency_pos,power_agent
1305,partake,,
1306,participate,agency_pos,
1307,pass,agency_pos,power_agent
1308,paste,agency_pos,power_agent
1309,pat,agency_pos,power_equal
1310,patch,agency_pos,power_agent
1311,patrol,agency_pos,power_agent
1312,pause,agency_neg,
1313,pave,agency_pos,power_equal
1314,paw,agency_pos,power_equal
1315,pay,agency_equal,power_agent
1316,peck,agency_pos,power_agent
1317,pedal,agency_pos,
1318,peddle,agency_pos,power_agent
1319,pee,agency_pos,
1320,peek,agency_neg,
1321,peel,agency_pos,power_agent
1322,peep,agency_pos,
1323,peer,agency_pos,
1324,peg,agency_pos,power_agent
1325,pelt,agency_pos,power_agent
1326,pen,agency_pos,power_agent
1327,penetrate,agency_pos,power_agent
1328,perceive,agency_neg,power_equal
1329,perch,agency_pos,
1330,perfect,agency_pos,power_agent
1331,perform,agency_pos,power_equal
1332,permit,agency_pos,power_agent
1333,perplex,agency_neg,power_agent
1334,persuade,agency_pos,power_agent
1335,peruse,agency_pos,power_theme
1336,pet,agency_pos,power_equal
1337,petition,agency_pos,power_theme
1338,phone,agency_pos,power_equal
1339,photograph,agency_pos,power_equal
1340,pick,agency_pos,power_agent
1341,picture,agency_equal,power_equal
1342,pierce,agency_pos,power_agent
1343,pile,agency_pos,power_agent
1344,pin,agency_pos,power_agent
1345,pinch,agency_pos,power_agent
1346,pip,,
1347,pitch,agency_pos,power_agent
1348,pity,agency_pos,power_agent
1349,pivot,agency_pos,power_equal
1350,place,agency_pos,power_agent
1351,plague,agency_pos,power_agent
1352,plan,agency_pos,power_agent
1353,plant,agency_pos,power_agent
1354,plaster,agency_pos,power_agent
1355,plat,agency_pos,power_equal
1356,play,agency_pos,power_agent
1357,plead,agency_pos,power_theme
1358,please,agency_neg,power_theme
1359,pledge,agency_pos,power_agent
1360,plop,agency_pos,power_agent
1361,plow,agency_pos,power_agent
1362,pluck,agency_pos,power_agent
1363,plugs in,agency_pos,power_agent
1364,plummet,agency_neg,
1365,plunge,agency_pos,power_agent
1366,pocket,agency_equal,power_agent
1367,point,agency_pos,power_agent
1368,points at,agency_pos,power_equal
1369,poise,agency_pos,
1370,poison,agency_pos,power_agent
1371,poke,agency_pos,power_agent
1372,polish,agency_pos,power_theme
1373,ponder,agency_neg,
1374,pop,agency_pos,power_agent
1375,portray,agency_pos,power_theme
1376,pose,agency_neg,
1377,position,agency_pos,power_agent
1378,possess,agency_equal,power_agent
1379,post,agency_pos,power_agent
1380,postpone,agency_pos,power_agent
1381,pounce,agency_pos,
1382,pound,agency_pos,power_agent
1383,pour,agency_pos,power_agent
1384,power,agency_pos,power_agent
1385,practice,agency_pos,power_theme
1386,praise,agency_pos,power_equal
1387,pray,agency_equal,power_theme
1388,prays to,agency_neg,power_theme
1389,preach,agency_pos,power_equal
1390,precede,agency_neg,power_agent
1391,predict,agency_equal,power_theme
1392,prefer,agency_neg,power_theme
1393,preoccupy,agency_equal,power_agent
1394,prepare,agency_pos,power_agent
1395,prescribe,agency_pos,power_agent
1396,present,agency_pos,power_agent
1397,preserve,agency_pos,power_agent
1398,preside,agency_pos,
1399,press,agency_pos,power_agent
1400,presume,agency_equal,power_agent
1401,pretend,agency_pos,power_agent
1402,prevail,agency_pos,
1403,prevent,agency_pos,power_agent
1404,prick,agency_pos,power_agent
1405,print,agency_pos,power_agent
1406,prize,agency_pos,power_agent
1407,probe,agency_pos,power_agent
1408,proceed,agency_pos,
1409,process,agency_pos,power_equal
1410,proclaim,agency_pos,power_agent
1411,prod,agency_pos,power_agent
1412,produce,agency_pos,power_agent
1413,program,agency_pos,power_agent
1414,progress,agency_pos,
1415,prohibit,agency_pos,power_agent
1416,project,agency_equal,power_agent
1417,promise,agency_pos,power_equal
1418,promote,agency_pos,power_theme
1419,prompt,agency_pos,power_agent
1420,pronounce,agency_pos,power_agent
1421,prop,agency_pos,power_agent
1422,propel,agency_pos,power_agent
1423,propose,agency_pos,power_agent
1424,prosecute,agency_pos,power_agent
1425,protect,agency_pos,power_agent
1426,protest,agency_pos,power_equal
1427,protrude,agency_neg,
1428,prove,agency_pos,power_agent
1429,provide,agency_pos,power_agent
1430,provoke,agency_pos,power_equal
1431,prowl,agency_pos,
1432,pry,agency_equal,
1433,publish,agency_pos,power_agent
1434,puff,agency_pos,
1435,pull,agency_pos,power_agent
1436,pulsate,agency_equal,
1437,pulse,agency_equal,
1438,pummel,agency_pos,power_agent
1439,pump,,power_agent
1440,punch,agency_pos,power_agent
1441,punctuate,agency_pos,power_agent
1442,puncture,agency_pos,power_agent
1443,punish,agency_pos,power_agent
1444,purchase,agency_pos,power_agent
1445,purr,agency_equal,
1446,pursue,agency_pos,power_theme
1447,push,agency_pos,power_agent
1448,put,agency_equal,power_agent
1449,puzzle,agency_neg,power_agent
1450,quaff,agency_pos,
1451,qualify,agency_neg,
1452,query,agency_pos,power_theme
1453,question,agency_pos,power_agent
1454,quicken,agency_pos,power_agent
1455,quiet,agency_pos,power_agent
1456,quit,agency_pos,power_agent
1457,quiver,agency_pos,
1458,quote,agency_equal,power_theme
1459,race,agency_pos,power_equal
1460,racks up,agency_pos,power_equal
1461,radiate,agency_equal,power_theme
1462,rag,agency_pos,power_agent
1463,raid,agency_pos,power_agent
1464,rails against,agency_pos,power_agent
1465,rain,agency_pos,power_agent
1466,raise,agency_pos,power_agent
1467,rake,agency_pos,power_agent
1468,ram,agency_pos,power_agent
1469,ramble,agency_pos,
1470,range,agency_pos,
1471,rank,agency_pos,power_agent
1472,rant,agency_pos,
1473,rap,agency_pos,
1474,rape,agency_pos,power_agent
1475,ratify,agency_pos,power_agent
1476,rats on,agency_pos,power_agent
1477,rattle,agency_pos,power_agent
1478,ravage,agency_pos,power_agent
1479,rave,agency_pos,
1480,reach,agency_pos,power_theme
1481,react,agency_pos,
1482,reacts to,agency_pos,power_theme
1483,read,agency_equal,power_agent
1484,ready,agency_pos,power_agent
1485,reaffirm,agency_pos,power_agent
1486,realise,agency_equal,power_equal
1487,realize,agency_neg,power_equal
1488,reappear,agency_pos,
1489,rear,agency_pos,
1490,rearrange,agency_pos,power_agent
1491,reason,agency_pos,
1492,reassure,agency_pos,power_agent
1493,rebuild,agency_pos,power_agent
1494,recall,agency_neg,power_theme
1495,recede,agency_neg,
1496,receive,agency_neg,power_theme
1497,recite,agency_pos,power_equal
1498,reckon,agency_pos,power_agent
1499,recline,agency_neg,
1500,recognise,agency_equal,power_theme
1501,recognize,agency_neg,power_theme
1502,recoil,agency_equal,
1503,recommend,agency_pos,power_agent
1504,reconcile,agency_pos,power_equal
1505,reconsider,agency_equal,power_agent
1506,record,agency_equal,power_agent
1507,recount,agency_equal,power_agent
1508,recover,agency_pos,power_equal
1509,recruit,agency_pos,power_agent
1510,reduce,agency_pos,power_agent
1511,reel,agency_neg,
1512,refer,agency_pos,power_equal
1513,refill,agency_pos,power_agent
1514,reflect,agency_neg,power_theme
1515,refrain,agency_pos,power_agent
1516,refuse,agency_pos,power_agent
1517,regain,agency_pos,power_agent
1518,regard,agency_neg,power_theme
1519,register,agency_pos,power_agent
1520,regret,agency_neg,power_theme
1521,regulate,agency_pos,power_agent
1522,rehearse,agency_pos,power_equal
1523,reign,agency_pos,
1524,rein,agency_pos,power_equal
1525,reinforce,agency_pos,power_agent
1526,reiterate,agency_equal,power_theme
1527,reject,agency_pos,power_agent
1528,rejoin,agency_pos,power_equal
1529,relate,agency_pos,power_equal
1530,relates to,agency_neg,power_equal
1531,relax,agency_neg,
1532,release,agency_pos,power_agent
1533,relent,agency_pos,
1534,relieve,agency_pos,power_theme
1535,relinquish,agency_pos,power_agent
1536,relish,agency_neg,power_theme
1537,reload,agency_pos,power_agent
1538,rely,agency_neg,
1539,remain,agency_neg,
1540,remember,agency_equal,power_equal
1541,remind,agency_pos,power_agent
1542,remove,agency_pos,power_agent
1543,rend,agency_pos,power_agent
1544,render,agency_pos,power_agent
1545,renew,agency_pos,power_agent
1546,renounce,agency_pos,power_agent
1547,rent,agency_pos,power_equal
1548,reopen,agency_pos,power_agent
1549,repair,agency_pos,power_agent
1550,repay,agency_pos,power_theme
1551,repeat,agency_pos,power_theme
1552,replace,agency_pos,power_agent
1553,reply,agency_neg,power_equal
1554,report,agency_pos,power_agent
1555,represent,agency_pos,power_theme
1556,reproach,agency_pos,power_agent
1557,repulse,agency_neg,power_theme
1558,request,agency_equal,power_equal
1559,require,agency_equal,power_theme
1560,rescue,agency_pos,power_agent
1561,resemble,agency_neg,power_equal
1562,resent,agency_neg,power_theme
1563,reserve,agency_pos,power_agent
1564,resign,agency_equal,
1565,resist,agency_pos,power_equal
1566,resolve,agency_pos,power_equal
1567,respect,agency_equal,power_theme
1568,respond,agency_pos,power_theme
1569,rest,agency_neg,
1570,restore,agency_pos,power_agent
1571,restrain,agency_pos,power_agent
1572,restrict,agency_pos,power_agent
1573,result,agency_equal,
1574,results in,agency_neg,power_agent
1575,resume,agency_equal,power_agent
1576,retain,agency_pos,power_agent
1577,retire,agency_pos,power_agent
1578,retrace,agency_pos,
1579,retract,agency_pos,power_agent
1580,retreat,agency_equal,
1581,retrieve,agency_pos,power_agent
1582,return,agency_pos,power_agent
1583,rev,agency_pos,power_agent
1584,reveal,agency_pos,power_agent
1585,reverberate,agency_pos,
1586,reverse,agency_pos,power_agent
1587,review,agency_pos,power_equal
1588,revise,agency_pos,power_agent
1589,revive,agency_pos,power_agent
1590,revolve,agency_pos,
1591,revolves around,agency_equal,power_theme
1592,reward,agency_pos,power_agent
1593,ricochet,agency_pos,
1594,rid,agency_pos,power_agent
1595,rid,agency_pos,power_agent
1596,riddle,agency_pos,power_agent
1597,rifles through,agency_pos,power_agent
1598,rig,agency_pos,power_agent
1599,right,agency_pos,power_agent
1600,ring,agency_pos,power_agent
1601,rinse,agency_pos,power_agent
1602,rip,agency_pos,power_agent
1603,ripple,agency_pos,
1604,rise,agency_pos,
1605,risk,agency_equal,power_agent
1606,rivet,agency_pos,power_agent
1607,rivets on,agency_pos,power_agent
1608,roam,agency_neg,power_equal
1609,roar,agency_pos,
1610,roast,agency_pos,power_agent
1611,rob,agency_pos,power_agent
1612,rock,agency_equal,
1613,rocket,agency_pos,
1614,roll,agency_pos,power_agent
1615,root,agency_pos,power_equal
1616,rot,agency_neg,
1617,rotate,agency_pos,power_agent
1618,round,agency_pos,power_equal
1619,rouse,agency_pos,power_agent
1620,rout,agency_pos,power_agent
1621,row,agency_pos,power_agent
1622,rub,agency_pos,power_equal
1623,ruffle,agency_pos,power_agent
1624,ruin,agency_pos,power_agent
1625,rule,agency_pos,power_agent
1626,rumble,agency_pos,
1627,rummage,agency_pos,
1628,run,agency_pos,
1629,rush,agency_pos,power_agent
1630,rust,agency_neg,
1631,rustle,agency_pos,power_agent
1632,sack,agency_pos,power_agent
1633,sacrifice,agency_pos,power_agent
1634,sadden,agency_pos,power_agent
1635,saddle,agency_pos,power_agent
1636,sag,agency_neg,
1637,sail,agency_pos,power_agent
1638,salute,agency_pos,power_theme
1639,salvage,agency_pos,power_agent
1640,satisfy,agency_pos,power_theme
1641,saunter,agency_pos,
1642,save,agency_pos,power_agent
1643,savor,agency_pos,power_equal
1644,saw,agency_pos,power_agent
1645,say,agency_pos,power_equal
1646,scale,agency_pos,power_agent
1647,scamper,agency_pos,
1648,scan,agency_pos,power_agent
1649,scape,agency_pos,power_equal
1650,scar,agency_pos,power_agent
1651,scar,agency_pos,power_agent
1652,scatter,agency_pos,power_agent
1653,schedule,agency_pos,power_agent
1654,scoff,agency_pos,
1655,scoop,agency_pos,power_agent
1656,scoot,agency_pos,
1657,scorch,agency_pos,power_agent
1658,score,agency_pos,power_equal
1659,scorn,agency_pos,power_agent
1660,scour,agency_pos,power_agent
1661,scowl,agency_pos,
1662,scramble,agency_pos,power_agent
1663,scrap,agency_pos,power_agent
1664,scrap,agency_pos,power_agent
1665,scratch,agency_pos,power_agent
1666,scrawl,agency_pos,power_equal
1667,scream,agency_pos,
1668,screech,agency_pos,
1669,screen,agency_equal,power_agent
1670,scribble,agency_pos,power_equal
1671,scroll,agency_equal,
1672,scrub,agency_pos,power_agent
1673,scrunch,agency_pos,
1674,scrutinize,agency_pos,power_agent
1675,scurry,agency_pos,
1676,scuttle,agency_pos,
1677,seal,agency_pos,power_agent
1678,sear,agency_pos,power_agent
1679,search,agency_pos,power_agent
1680,seat,agency_pos,power_theme
1681,secure,agency_pos,power_agent
1682,seduce,agency_pos,power_agent
1683,see,agency_neg,power_equal
1684,seek,agency_pos,power_theme
1685,seem,agency_neg,
1686,seethe,agency_pos,
1687,seize,agency_pos,power_agent
1688,select,agency_pos,power_agent
1689,sell,agency_pos,power_agent
1690,send,agency_pos,power_agent
1691,sense,agency_neg,power_theme
1692,sentence,agency_pos,power_agent
1693,separate,agency_pos,power_agent
1694,serve,agency_equal,power_theme
1695,set,agency_pos,power_agent
1696,settle,agency_pos,power_agent
1697,sever,agency_pos,power_agent
1698,sew,agency_pos,power_equal
1699,shade,agency_pos,power_equal
1700,shadow,agency_equal,power_theme
1701,shake,agency_pos,power_agent
1702,shape,agency_pos,power_agent
1703,share,agency_pos,power_agent
1704,sharpen,agency_pos,power_agent
1705,shatter,agency_pos,power_agent
1706,shave,agency_pos,power_agent
1707,shed,agency_pos,power_agent
1708,shell,agency_pos,power_agent
1709,shelter,agency_pos,power_agent
1710,shield,agency_pos,power_agent
1711,shift,agency_pos,power_agent
1712,shimmer,agency_neg,
1713,shin,agency_equal,
1714,shin,agency_equal,
1715,ship,agency_pos,power_agent
1716,shiver,agency_equal,
1717,shock,agency_pos,power_agent
1718,shoo,,power_agent
1719,shoo,agency_pos,
1720,shoot,agency_pos,power_agent
1721,shop,agency_pos,
1722,shoulder,agency_pos,power_agent
1723,shout,agency_pos,power_agent
1724,shove,agency_pos,power_agent
1725,shovel,agency_pos,power_agent
1726,show,agency_pos,power_agent
1727,shower,agency_pos,power_theme
1728,shred,agency_pos,power_agent
1729,shriek,agency_pos,power_agent
1730,shrink,agency_pos,power_agent
1731,shroud,agency_pos,power_agent
1732,shrug,agency_pos,
1733,shudder,agency_neg,
1734,shuffle,agency_pos,power_agent
1735,shush,agency_pos,power_agent
1736,shut,agency_pos,power_agent
1737,sicken,agency_pos,power_agent
1738,side,agency_equal,
1739,sidestep,agency_pos,power_agent
1740,sidles up to,agency_pos,power_theme
1741,sift,agency_pos,power_agent
1742,sigh,agency_equal,
1743,sight,agency_pos,power_equal
1744,sign,agency_pos,power_equal
1745,signal,agency_pos,power_equal
1746,silence,agency_pos,power_agent
1747,silhouette,agency_neg,power_theme
1748,simmer,agency_pos,power_agent
1749,sing,agency_pos,power_agent
1750,singles out,agency_pos,power_agent
1751,sink,agency_pos,power_agent
1752,sip,agency_pos,power_agent
1753,sit,agency_neg,
1754,situate,agency_pos,power_agent
1755,size,agency_equal,power_agent
1756,sizzle,agency_equal,
1757,skate,agency_pos,power_agent
1758,sketch,agency_pos,power_equal
1759,skid,agency_equal,
1760,skim,agency_pos,power_agent
1761,skin,agency_pos,power_agent
1762,skip,agency_neg,power_agent
1763,skitter,agency_equal,
1764,slam,agency_pos,power_agent
1765,slant,agency_neg,
1766,slap,agency_pos,power_agent
1767,slash,agency_pos,power_agent
1768,slaughter,agency_pos,power_agent
1769,slay,agency_pos,power_agent
1770,sleep,agency_neg,
1771,slice,agency_pos,power_agent
1772,slick,agency_equal,power_agent
1773,slide,agency_equal,power_agent
1774,sling,agency_pos,power_agent
1775,slink,agency_neg,
1776,slip,agency_pos,power_agent
1777,slit,agency_pos,power_agent
1778,slither,agency_pos,
1779,slop,agency_pos,power_agent
1780,slosh,agency_equal,
1781,slouch,agency_neg,
1782,slow,agency_pos,power_agent
1783,slug,agency_pos,power_agent
1784,slumber,agency_neg,
1785,slump,agency_neg,
1786,slur,agency_equal,
1787,slurp,agency_pos,power_agent
1788,smack,agency_pos,power_agent
1789,smash,agency_pos,power_agent
1790,smear,agency_pos,power_agent
1791,smell,agency_neg,power_theme
1792,smile,agency_pos,
1793,smirk,agency_neg,
1794,smite,agency_pos,power_agent
1795,smoke,agency_pos,power_agent
1796,smolder,agency_neg,
1797,smooth,agency_pos,power_equal
1798,smother,agency_pos,power_agent
1799,snag,agency_pos,power_agent
1800,snap,agency_pos,
1801,snarls at,agency_pos,power_equal
1802,snatch,agency_pos,power_agent
1803,sneak,agency_pos,power_agent
1804,sneer,agency_pos,
1805,sneeze,agency_pos,
1806,snicker,agency_neg,
1807,sniff,agency_equal,
1808,snip,agency_pos,power_agent
1809,snoop,agency_pos,
1810,snore,agency_neg,
1811,snort,agency_pos,
1812,snow,agency_neg,
1813,snuggle,agency_pos,power_equal
1814,soak,agency_pos,power_agent
1815,soar,agency_pos,
1816,sob,agency_neg,
1817,sober,agency_pos,power_agent
1818,soften,agency_pos,power_equal
1819,soil,agency_pos,power_agent
1820,solicit,agency_pos,power_agent
1821,solve,agency_pos,power_agent
1822,soothe,agency_pos,power_equal
1823,sort,agency_pos,power_equal
1824,sound,agency_pos,power_equal
1825,space,agency_pos,power_agent
1826,span,agency_neg,power_agent
1827,spar,agency_pos,power_agent
1828,spar,agency_pos,power_equal
1829,spark,agency_pos,power_agent
1830,sparkle,agency_neg,
1831,spatter,agency_equal,
1832,speak,agency_pos,
1833,speaks to,agency_pos,power_equal
1834,specify,agency_pos,power_equal
1835,speed,agency_pos,
1836,speeds up,agency_pos,power_equal
1837,spell,agency_equal,power_equal
1838,spend,agency_pos,power_agent
1839,spew,agency_pos,power_agent
1840,spike,agency_pos,power_agent
1841,spill,agency_pos,power_agent
1842,spin,agency_pos,power_agent
1843,spiral,agency_pos,
1844,spits at,agency_pos,power_agent
1845,splash,agency_pos,
1846,splatter,agency_pos,power_agent
1847,splinter,agency_pos,power_agent
1848,split,agency_pos,power_agent
1849,spoil,agency_pos,power_equal
1850,sponsor,agency_pos,power_agent
1851,spook,agency_pos,power_agent
1852,sport,agency_equal,power_equal
1853,spot,agency_neg,power_agent
1854,sprawl,agency_equal,
1855,spray,agency_pos,power_agent
1856,spread,agency_pos,power_agent
1857,spring,agency_pos,
1858,sprinkle,agency_pos,power_agent
1859,sprint,agency_pos,
1860,sprout,agency_pos,
1861,spur,agency_pos,power_agent
1862,sputter,agency_pos,
1863,spy,agency_pos,power_equal
1864,square,agency_pos,power_agent
1865,squash,agency_pos,power_agent
1866,squat,agency_pos,
1867,squeak,agency_equal,
1868,squeal,agency_equal,
1869,squeeze,agency_pos,power_agent
1870,squint,agency_equal,
1871,squirm,agency_equal,
1872,squirt,agency_pos,power_equal
1873,stab,agency_pos,power_agent
1874,stabilize,agency_pos,power_agent
1875,stack,agency_pos,power_agent
1876,stagger,agency_equal,
1877,stain,agency_pos,power_agent
1878,stake,agency_pos,power_agent
1879,stalk,agency_pos,power_theme
1880,stall,agency_pos,power_agent
1881,stamp,agency_pos,power_agent
1882,stand,agency_equal,
1883,star,agency_neg,
1884,star,agency_pos,power_equal
1885,start,agency_pos,power_agent
1886,startle,agency_pos,power_equal
1887,starve,agency_pos,power_agent
1888,stash,agency_pos,power_agent
1889,state,agency_pos,power_equal
1890,station,agency_pos,power_agent
1891,stay,agency_neg,
1892,steady,agency_pos,power_agent
1893,steal,agency_pos,power_agent
1894,steam,agency_pos,power_agent
1895,steel,agency_pos,power_agent
1896,steer,agency_pos,power_agent
1897,stencil,agency_pos,power_agent
1898,step,agency_pos,
1899,stick,agency_pos,
1900,stiffen,agency_pos,power_equal
1901,stifle,agency_pos,power_agent
1902,stimulate,agency_pos,power_equal
1903,sting,agency_pos,power_agent
1904,stink,agency_neg,
1905,stir,agency_pos,power_agent
1906,stitch,agency_pos,power_equal
1907,stock,agency_pos,power_equal
1908,stomp,agency_pos,
1909,stone,agency_pos,power_agent
1910,stoop,agency_equal,
1911,stop,agency_pos,power_agent
1912,store,agency_pos,power_agent
1913,storm,agency_pos,power_agent
1914,stow,agency_pos,power_agent
1915,straddle,agency_pos,power_agent
1916,straighten,agency_pos,power_agent
1917,strain,agency_pos,power_agent
1918,strand,agency_pos,power_agent
1919,strangle,agency_pos,power_agent
1920,strangles on,agency_equal,power_agent
1921,strap,agency_pos,power_agent
1922,stray,agency_pos,
1923,stream,agency_pos,
1924,strengthen,agency_pos,power_agent
1925,stress,agency_pos,power_agent
1926,stretch,agency_pos,
1927,stride,agency_pos,
1928,strike,agency_pos,power_agent
1929,string,agency_pos,power_agent
1930,strip,agency_pos,power_agent
1931,strive,agency_pos,
1932,stroke,agency_pos,power_equal
1933,stroll,agency_equal,
1934,struggle,agency_equal,power_theme
1935,strut,agency_pos,
1936,stub,agency_equal,power_agent
1937,study,agency_pos,power_equal
1938,stuff,agency_pos,power_agent
1939,stumble,agency_neg,
1940,stun,agency_pos,power_agent
1941,subdue,agency_pos,power_agent
1942,submerge,agency_pos,power_agent
1943,submit,agency_pos,power_equal
1944,subside,agency_neg,
1945,subtitle,agency_pos,power_theme
1946,succeed,agency_pos,power_agent
1947,suckle,agency_pos,power_agent
1948,sue,agency_pos,power_agent
1949,suffer,agency_neg,power_theme
1950,suffocate,agency_pos,power_agent
1951,suggest,agency_pos,power_agent
1952,sulk,agency_neg,
1953,summon,agency_pos,power_agent
1954,superimpose,agency_pos,power_agent
1955,supervise,agency_pos,power_agent
1956,supply,agency_pos,power_agent
1957,support,agency_pos,power_equal
1958,suppose,agency_equal,power_equal
1959,suppress,agency_pos,power_agent
