,character,gender,power_score,agency_score
971,1529,they/them/their,0,0
972,5793,they/them/their,0,0
973,5795,they/them/their,0,0
974,502,he/him/his,0,0
975,1533,they/them/their,0,2
976,504,she/her,0,0
977,5805,they/them/their,0,0
978,1549,they/them/their,0,0
979,5827,they/them/their,0,0
980,1572,they/them/their,0,0
981,1609,he/him/his,0,0
982,1634,they/them/their,0,0
983,1666,he/him/his,0,0
984,1669,she/her,0,0
985,1680,she/her,0,0
986,1699,they/them/their,2,1
987,82,he/him/his,-1,0
988,1710,they/them/their,-1,1
989,532,she/her,0,0
990,1707,she/her,0,0
991,1737,she/her,0,0
992,541,he/him/his,-1,0
993,547,she/her,0,0
994,548,he/him/his,0,0
995,1793,they/them/their,0,0
996,558,he/him/his,0,0
997,1821,they/them/their,0,0
998,5985,he/him/his,1,1
999,567,he/him/his,0,0
1000,6013,she/her,0,2
1001,1861,they/them/their,0,0
1002,578,he/him/his,0,0
1003,1898,they/them/their,0,0
1004,583,he/him/his,0,0
1005,585,he/him/his,1,1
1006,591,he/him/his,-1,-1
1007,1912,he/him/his,0,0
1008,594,he/him/his,0,0
1009,1946,they/them/their,2,2
1010,1949,she/her,0,0
1011,1950,they/them/their,0,0
1012,1952,she/her,0,0
1013,30,she/her,0,0
1014,603,she/her,0,0
1015,1998,they/them/their,0,1
1016,2017,she/her,0,0
1017,6070,he/him/his,1,2
1018,2041,they/them/their,0,0
1019,2046,he/him/his,0,0
1020,612,she/her,0,0
1021,2057,he/him/his,-1,0
1022,621,they/them/their,0,0
1023,2112,they/them/their,0,0
1024,2142,he/him/his,0,0
1025,2163,she/her,0,0
1026,2187,she/her,2,2
1027,2196,he/him/his,2,2
1028,2198,she/her,0,0
1029,636,they/them/their,1,1
1030,2231,he/him/his,0,0
1031,640,they/them/their,2,2
1032,645,she/her,0,0
1033,648,he/him/his,0,0
1034,661,they/them/their,0,0
1035,662,he/him/his,0,0
1036,663,he/him/his,0,-1
1037,2309,they/them/their,0,0
1038,664,they/them/their,0,0
1039,669,he/him/his,0,0
1040,2332,they/them/their,0,0
1041,2346,they/them/their,0,0
1042,684,he/him/his,0,0
1043,2362,he/him/his,0,0
1044,688,they/them/their,0,0
1045,6200,they/them/their,0,0
1046,2436,she/her,0,0
1047,697,he/him/his,0,0
1048,701,he/him/his,0,0
1049,2478,they/them/their,0,1
1050,6286,she/her,0,0
1051,2581,he/him/his,0,0
1052,2625,they/them/their,0,0
1053,750,he/him/his,0,0
1054,753,he/him/his,0,0
1055,6344,she/her,0,0
1056,2650,they/them/their,0,0
1057,6367,they/them/their,-2,0
1058,2664,she/her,0,0
1059,760,he/him/his,1,1
1060,764,he/him/his,0,0
1061,2665,he/him/his,-1,-1
1062,772,she/her,0,0
1063,6432,he/him/his,0,0
1064,6446,they/them/their,0,0
1065,6462,they/them/their,0,0
1066,774,she/her,0,1
1067,6483,they/them/their,0,0
1068,782,they/them/their,0,0
1069,2709,they/them/their,1,1
1070,6532,he/him/his,1,0
1071,787,he/him/his,0,0
1072,798,he/him/his,0,-1
1073,807,he/him/his,0,-1
1074,809,he/him/his,0,0
1075,813,he/him/his,0,-1
1076,814,she/her,0,0
1077,821,he/him/his,0,0
1078,823,he/him/his,0,0
1079,827,he/him/his,0,0
1080,6637,they/them/their,0,0
1081,830,he/him/his,1,1
1082,832,he/him/his,0,0
1083,835,he/him/his,0,0
1084,836,they/them/their,1,1
1085,2752,he/him/his,-1,0
1086,2753,she/her,0,0
1087,839,they/them/their,-1,0
1088,846,they/them/their,0,0
1089,6680,she/her,0,0
1090,855,she/her,0,0
1091,6695,he/him/his,0,0
1092,2814,they/them/their,-1,0
1093,6712,he/him/his,0,0
1094,858,they/them/their,0,0
1095,6771,she/her,0,0
1096,2880,they/them/their,0,0
1097,2903,she/her,1,1
1098,6798,they/them/their,0,0
1099,6818,they/them/their,0,0
1100,6826,they/them/their,0,0
1101,6828,they/them/their,0,0
1102,6846,they/them/their,0,-1
1103,881,she/her,0,0
1104,889,he/him/his,0,0
1105,896,she/her,0,0
1106,6878,they/them/their,0,0
1107,6906,they/them/their,0,0
1108,3040,they/them/their,0,0
1109,3078,they/them/their,0,0
1110,3099,they/them/their,0,0
1111,3197,she/her,2,-1
1112,3200,they/them/their,0,0
1113,915,he/him/his,0,0
1114,3213,she/her,0,0
1115,3260,she/her,0,0
1116,919,she/her,0,0
1117,920,he/him/his,0,0
1118,7020,they/them/their,0,-1
1119,7027,he/him/his,-1,0
1120,3324,they/them/their,0,0
1121,7041,they/them/their,1,1
1122,7063,they/them/their,1,1
1123,7092,they/them/their,0,0
1124,7120,they/them/their,0,0
1125,7128,she/her,1,1
1126,946,she/her,0,0
1127,7144,he/him/his,0,0
1128,949,he/him/his,0,0
1129,7183,they/them/their,0,0
1130,967,he/him/his,0,0
1131,7204,they/them/their,0,0
1132,3376,they/them/their,-1,0
1133,7220,they/them/their,0,0
1134,3377,they/them/their,0,0
1135,980,she/her,0,0
1136,982,he/him/his,0,0
1137,3503,she/her,0,0
1138,3507,they/them/their,1,1
1139,3510,she/her,0,0
1140,3555,she/her,0,0
1141,1530,they/them/their,0,0
1142,3601,they/them/their,-1,-1
1143,3617,he/him/his,0,0
1144,7338,they/them/their,0,0
1145,7369,she/her,0,0
1146,7376,they/them/their,1,1
1147,1007,he/him/his,0,0
1148,1010,she/her,0,0
1149,1017,he/him/his,0,0
1150,1026,he/him/his,0,0
1151,7442,they/them/their,0,0
1152,3639,they/them/their,-2,0
1153,3640,they/them/their,0,0
1154,1042,they/them/their,0,0
1155,7483,they/them/their,1,1
1156,3697,they/them/their,0,0
1157,3717,they/them/their,0,0
1158,7522,they/them/their,0,0
1159,7539,they/them/their,1,1
1160,7540,they/them/their,-1,-1
1161,7541,they/them/their,-1,1
1162,3740,he/him/his,0,0
1163,1058,he/him/his,0,0
1164,7554,they/them/their,0,0
1165,3757,they/them/their,0,0
1166,3759,she/her,-1,0
1167,7585,he/him/his,0,0
1168,1062,he/him/his,0,0
1169,3828,they/them/their,0,1
1170,7588,she/her,0,0
1171,7605,she/her,0,1
1172,7609,she/her,0,0
1173,1088,she/her,0,0
1174,1097,he/him/his,0,0
1175,4001,they/them/their,0,0
1176,7707,they/them/their,1,1
1177,1113,he/him/his,0,0
1178,7746,he/him/his,0,0
1179,7787,he/him/his,0,0
1180,4088,he/him/his,0,0
1181,7790,they/them/their,0,1
1182,1123,they/them/their,0,0
1183,7816,they/them/their,0,0
1184,1127,he/him/his,0,0
1185,4118,they/them/their,0,0
1186,1134,they/them/their,0,0
1187,4135,they/them/their,0,0
1188,1138,he/him/his,0,0
1189,4174,she/her,-1,0
1190,4199,they/them/their,0,0
1191,4224,she/her,0,0
1192,4284,they/them/their,0,0
1193,4306,they/them/their,0,0
1194,4308,they/them/their,1,1
1195,1144,they/them/their,1,-1
1196,1146,she/her,0,0
1197,4331,he/him/his,0,0
1198,1147,he/him/his,0,0
1199,7922,they/them/their,0,0
1200,4386,they/them/their,0,0
1201,4441,they/them/their,0,0
1202,4459,they/them/their,0,0
1203,7945,he/him/his,0,0
1204,4508,he/him/his,0,0
1205,16,they/them/their,1,-1
1206,8011,he/him/his,0,0
1207,8019,they/them/their,0,0
1208,4527,they/them/their,0,0
1209,4548,they/them/their,1,1
1210,4562,they/them/their,1,1
1211,4595,they/them/their,0,0
1212,4610,they/them/their,0,0
1213,4613,they/them/their,0,0
1214,4635,he/him/his,0,0
1215,8058,he/him/his,1,0
1216,1175,he/him/his,0,1
1217,2497,she/her,-1,0
1218,4660,she/her,0,0
1219,1178,he/him/his,0,0
1220,340,she/her,0,0
1221,1189,they/them/their,0,0
1222,4746,she/her,2,2
1223,1193,he/him/his,0,0
1224,1195,he/him/his,1,1
1225,4775,he/him/his,0,0
1226,4776,they/them/their,0,0
1227,1201,they/them/their,0,0
1228,8155,they/them/their,0,0
1229,8161,they/them/their,0,0
1230,4789,they/them/their,0,0
1231,1203,he/him/his,0,0
1232,4799,they/them/their,0,0
1233,1205,she/her,0,0
1234,4800,she/her,0,0
1235,4816,they/them/their,0,0
1236,1223,he/him/his,0,0
1237,1224,he/him/his,0,0
1238,1228,he/him/his,0,0
1239,1231,he/him/his,0,0
1240,1232,he/him/his,0,0
1241,1248,he/him/his,0,0
1242,1262,he/him/his,0,0
1243,8221,he/him/his,0,0
1244,8229,they/them/their,0,0
1245,1266,he/him/his,0,0
1246,4919,they/them/their,-1,0
1247,1268,he/him/his,0,0
1248,4924,they/them/their,0,0
1249,8249,he/him/his,0,0
1250,8304,he/him/his,0,0
1251,1281,he/him/his,0,0
1252,8317,they/them/their,0,0
1253,1283,he/him/his,0,0
1254,8333,she/her,0,0
1255,8368,he/him/his,0,0
1256,8370,they/them/their,0,0
1257,8376,they/them/their,0,1
1258,8385,they/them/their,0,0
1259,8409,they/them/their,0,0
1260,4967,he/him/his,0,0
1261,1309,she/her,0,0
1262,1312,she/her,0,0
1263,4989,he/him/his,0,0
1264,5024,he/him/his,0,0
1265,1320,she/her,0,0
1266,5052,they/them/their,0,0
1267,5062,they/them/their,0,0
1268,1323,he/him/his,0,0
1269,5082,they/them/their,0,0
1270,5090,they/them/their,0,0
1271,1325,they/them/their,0,0
1272,8584,they/them/their,-1,0
1273,1332,he/him/his,0,0
1274,8630,he/him/his,0,0
1275,8634,they/them/their,-1,0
1276,5245,they/them/their,0,0
1277,5250,she/her,0,0
1278,5258,they/them/their,0,0
1279,1356,she/her,0,0
1280,1359,she/her,0,0
1281,1364,they/them/their,0,0
1282,5314,they/them/their,0,0
1283,1375,he/him/his,0,0
1284,1383,he/him/his,0,0
1285,5382,they/them/their,0,0
1286,1388,he/him/his,-1,0
1287,5416,they/them/their,0,0
1288,1402,he/him/his,0,0
1289,9029,they/them/their,0,0
1290,5466,they/them/their,0,0
1291,5468,they/them/their,0,0
1292,5487,they/them/their,0,0
1293,9046,she/her,0,0
1294,1408,he/him/his,0,0
1295,9075,they/them/their,0,1
1296,9098,they/them/their,0,0
1297,9112,they/them/their,1,1
1298,1449,she/her,0,0
1299,5508,they/them/their,0,0
1300,5510,they/them/their,0,0
1301,5513,they/them/their,0,0
1302,5575,he/him/his,0,0
1303,9138,she/her,0,0
1304,5580,they/them/their,-1,0
1305,1428,they/them/their,0,0
1306,5649,they/them/their,0,0
1307,5681,she/her,0,0
1308,5700,they/them/their,0,1
1309,5711,he/him/his,0,0
1310,5777,he/him/his,0,0
