,character,gender,power_score,agency_score
225,3469,he/him/his,-2,-2
226,979,she/her,0,0
227,7968,he/him/his,0,0
228,1173,he/him/his,1,4
229,1221,he/him/his,1,1
230,1314,she/her,3,3
231,526,he/him/his,0,4
232,550,he/him/his,3,3
233,551,he/him/his,0,0
234,600,he/him/his,0,0
235,1986,she/her,0,0
236,2244,they/them/their,0,1
237,781,she/her,0,0
238,877,she/her,1,2
239,906,he/him/his,-1,1
240,1005,he/him/his,0,1
241,1011,he/him/his,-1,0
242,1048,he/him/his,-1,-1
243,4024,she/her,1,0
244,4029,he/him/his,1,-1
245,4358,they/them/their,1,1
246,7899,they/them/their,1,2
247,1198,she/her,-1,-1
248,1270,he/him/his,2,2
249,1367,he/him/his,0,0
250,8936,he/him/his,1,3
251,517,she/her,1,0
252,1883,he/him/his,-1,1
253,2224,they/them/their,0,2
254,2287,she/her,2,0
255,2329,she/her,0,-1
256,678,he/him/his,0,2
257,2439,he/him/his,-4,0
258,717,he/him/his,-1,0
259,2624,she/her,4,3
260,2629,she/her,1,3
261,6372,they/them/their,0,0
262,898,he/him/his,0,-1
263,3314,they/them/their,0,0
264,1029,he/him/his,1,0
265,1074,he/him/his,-1,0
266,1077,he/him/his,2,2
267,4204,she/her,1,1
268,4543,he/him/his,1,1
269,1555,he/him/his,2,2
270,1607,he/him/his,1,2
271,1688,she/her,-2,2
272,5923,she/her,0,-1
273,555,she/her,1,1
274,1924,she/her,2,-1
275,2335,he/him/his,0,0
276,685,he/him/his,3,0
277,694,he/him/his,3,1
278,744,she/her,0,0
279,6413,they/them/their,0,3
280,777,she/her,0,0
281,796,he/him/his,0,-1
282,816,he/him/his,0,-4
283,6772,he/him/his,0,2
284,901,he/him/his,0,0
285,923,they/them/their,1,1
286,3539,she/her,0,0
287,1032,she/her,-1,0
288,3681,they/them/their,5,6
289,7504,they/them/their,1,1
290,1073,they/them/their,3,2
291,1143,he/him/his,-2,0
292,1152,he/him/his,-1,0
293,4646,she/her,-2,-4
294,5350,they/them/their,6,7
295,1392,he/him/his,1,1
296,1558,they/them/their,3,1
297,1704,she/her,1,2
298,1929,she/her,2,2
299,2277,they/them/their,0,-1
300,2312,they/them/their,4,5
301,2424,he/him/his,0,0
302,2450,he/him/his,-2,-1
303,728,she/her,2,3
304,759,he/him/his,-1,0
305,763,he/him/his,1,1
306,2685,she/her,1,0
307,793,she/her,2,2
308,6665,he/him/his,1,1
309,873,they/them/their,4,4
310,942,he/him/his,1,2
311,3554,she/her,0,0
312,1030,he/him/his,1,1
313,3710,she/her,-1,0
314,3724,they/them/their,-2,0
315,7557,he/him/his,0,0
316,1064,he/him/his,0,0
317,1112,she/her,-1,0
318,1158,he/him/his,2,2
319,4657,he/him/his,-2,-1
320,4756,they/them/their,0,0
321,1273,he/him/his,-1,1
322,8501,she/her,1,1
323,1331,she/her,1,2
324,1363,he/him/his,-1,0
325,5372,she/her,2,2
326,1684,he/him/his,1,1
327,1972,he/him/his,0,1
328,616,he/him/his,0,0
329,2213,they/them/their,4,4
330,2515,he/him/his,-3,0
331,6252,he/him/his,0,0
332,2580,they/them/their,0,1
333,6319,he/him/his,1,1
334,6440,she/her,0,0
335,6887,they/them/their,1,0
336,6898,she/her,0,0
337,3273,they/them/their,0,1
338,7104,she/her,2,2
339,1023,he/him/his,2,1
340,3865,he/him/his,1,1
341,1187,she/her,1,0
342,4764,he/him/his,0,0
343,8664,he/him/his,1,1
344,8718,they/them/their,0,-1
345,1352,he/him/his,0,0
346,1355,she/her,1,0
347,5789,he/him/his,-2,-1
348,1664,he/him/his,-1,-3
349,1685,he/him/his,1,1
350,1756,they/them/their,0,0
351,5934,she/her,0,1
352,2184,she/her,0,0
353,2206,she/her,1,1
354,2286,he/him/his,3,3
355,679,he/him/his,0,0
356,695,he/him/his,1,1
357,2480,he/him/his,0,0
358,6576,he/him/his,0,0
359,6653,he/him/his,3,3
360,6708,she/her,0,0
361,2933,she/her,1,1
362,907,he/him/his,-1,0
363,6929,she/her,1,2
364,918,they/them/their,0,0
365,983,he/him/his,-1,0
366,3564,he/him/his,1,1
367,991,he/him/his,1,1
368,7448,she/her,2,2
369,1126,she/her,2,1
370,4198,she/her,-1,0
371,4661,he/him/his,1,1
372,9165,he/him/his,1,2
373,1519,they/them/their,-1,1
374,505,he/him/his,0,0
375,5843,she/her,-1,2
376,5884,they/them/their,2,1
377,522,he/him/his,0,0
378,562,she/her,0,0
379,1954,they/them/their,0,0
380,633,he/him/his,0,0
381,637,he/him/his,0,0
382,2264,they/them/their,2,0
383,2389,they/them/their,-2,0
384,690,they/them/their,1,0
385,6253,they/them/their,2,2
386,6431,he/him/his,0,0
387,6480,he/him/his,0,0
388,6743,he/him/his,0,0
389,2858,she/her,-1,0
390,3447,they/them/their,0,1
391,994,he/him/his,0,0
392,7623,he/him/his,1,2
393,1079,she/her,0,1
394,3944,he/him/his,1,3
395,4064,she/her,1,0
396,1163,he/him/his,0,0
397,4716,they/them/their,1,2
398,1204,he/him/his,0,0
399,8555,they/them/their,0,-2
400,5068,they/them/their,0,0
401,8901,they/them/their,0,1
402,1398,she/her,0,0
403,1401,he/him/his,0,0
404,5694,he/him/his,0,0
405,500,he/him/his,0,0
406,6046,he/him/his,-1,0
407,2037,they/them/their,0,0
408,614,she/her,0,0
409,2341,he/him/his,0,0
410,704,he/him/his,0,0
411,6285,she/her,0,1
412,758,he/him/his,1,0
413,847,he/him/his,-1,-2
414,2890,he/him/his,0,0
415,3034,they/them/their,1,2
416,3142,she/her,0,0
417,7008,he/him/his,-1,0
418,933,he/him/his,-1,2
419,7094,she/her,1,1
420,975,they/them/their,0,0
421,3428,he/him/his,1,0
422,3440,they/them/their,1,2
423,3578,she/her,0,0
424,3879,they/them/their,0,-1
425,1116,she/her,-1,1
426,1155,he/him/his,3,2
427,4471,she/her,-3,0
428,4517,he/him/his,0,0
429,1626,they/them/their,0,1
430,4556,he/him/his,3,1
431,8114,they/them/their,0,0
432,8120,they/them/their,-1,0
433,1277,he/him/his,1,1
434,1360,he/him/his,1,2
435,5571,they/them/their,1,3
436,1422,he/him/his,1,1
437,1540,they/them/their,0,0
438,1571,he/him/his,-1,-1
439,1727,she/her,1,0
440,1777,he/him/his,1,1
441,554,he/him/his,1,2
442,1830,he/him/his,0,0
443,1855,they/them/their,0,1
444,595,they/them/their,0,3
445,2012,they/them/their,0,0
446,2049,he/him/his,0,0
447,613,she/her,1,1
448,626,she/her,1,2
449,693,she/her,1,1
450,6244,he/him/his,0,0
451,6289,he/him/his,0,-1
452,6464,they/them/their,1,2
453,775,he/him/his,0,1
454,6511,she/her,0,0
455,2727,she/her,2,2
456,6589,he/him/his,0,-1
457,6602,he/him/his,0,0
458,2750,they/them/their,-1,0
459,6697,he/him/his,0,0
460,6727,he/him/his,1,1
461,6840,they/them/their,0,3
462,3011,they/them/their,0,0
463,909,they/them/their,0,0
464,6962,they/them/their,2,1
465,936,she/her,-1,0
466,3451,they/them/their,-1,2
467,3466,he/him/his,0,0
468,987,he/him/his,1,1
469,3667,she/her,-1,0
470,3855,she/her,0,1
471,7608,she/her,1,0
472,3880,he/him/his,1,1
473,7717,they/them/their,5,7
474,7737,she/her,0,0
475,1137,she/her,1,0
476,4375,he/him/his,1,1
477,1168,she/her,0,0
478,4544,she/her,-1,0
479,8119,they/them/their,0,0
480,1259,he/him/his,0,0
481,1284,he/him/his,1,3
482,8478,they/them/their,1,-1
483,8655,he/him/his,0,0
484,1338,she/her,0,0
485,5437,he/him/his,0,0
486,5452,he/him/his,-1,0
487,1463,she/her,5,5
488,5784,they/them/their,1,0
489,5799,they/them/their,0,0
490,1652,he/him/his,0,0
491,5871,she/her,0,0
492,1689,she/her,0,0
493,566,he/him/his,1,1
494,1850,they/them/their,0,1
495,1876,they/them/their,0,4
496,1951,she/her,-1,0
497,6062,he/him/his,0,0
498,608,he/him/his,0,0
499,627,she/her,1,2
500,2166,he/him/his,0,0
501,632,she/her,0,0
502,2200,he/him/his,1,1
503,2223,they/them/their,0,1
504,2253,they/them/their,1,-1
505,2485,they/them/their,0,0
506,709,he/him/his,0,0
507,726,he/him/his,0,0
508,6435,they/them/their,0,-1
509,780,she/her,2,1
510,838,he/him/his,0,0
511,2771,he/him/his,1,1
512,6679,she/her,1,1
513,2783,they/them/their,0,0
514,890,she/her,0,0
515,2957,they/them/their,-1,-2
516,897,she/her,-2,0
517,3005,she/her,0,0
518,3163,they/them/their,0,0
519,7017,he/him/his,0,0
520,7258,they/them/their,0,0
521,1052,they/them/their,3,2
522,1054,he/him/his,-1,0
523,7600,she/her,0,2
524,1066,she/her,0,0
525,1098,he/him/his,0,0
526,3976,he/him/his,0,0
527,7699,she/her,-1,2
528,4044,she/her,1,-3
529,7783,he/him/his,1,1
530,7894,he/him/his,0,0
531,1156,he/him/his,0,0
532,4518,they/them/their,0,0
533,4673,they/them/their,0,1
534,1188,they/them/their,1,1
535,4758,they/them/their,-1,-1
536,271,he/him/his,0,0
537,4928,they/them/their,0,0
538,1278,he/him/his,0,0
539,1280,they/them/their,0,0
540,349,she/her,0,0
541,8533,he/him/his,0,0
542,5244,they/them/their,2,2
543,1541,he/him/his,1,1
544,5815,they/them/their,0,0
545,1591,they/them/their,0,0
546,516,he/him/his,1,1
547,5878,she/her,0,0
548,5893,he/him/his,0,0
549,521,he/him/his,0,0
550,524,she/her,0,0
551,1747,she/her,0,0
552,552,he/him/his,0,0
553,556,he/him/his,0,0
554,559,she/her,0,0
555,570,he/him/his,2,2
556,2011,she/her,0,0
557,609,she/her,0,0
558,2084,she/her,0,-1
559,2217,they/them/their,0,0
560,2270,he/him/his,2,2
561,2369,he/him/his,-1,-1
562,2421,he/him/his,0,0
563,714,she/her,-1,1
564,727,they/them/their,-3,2
565,6280,they/them/their,0,-1
566,2575,she/her,0,-1
567,741,she/her,0,0
568,756,he/him/his,0,0
569,2640,they/them/their,0,0
570,2646,he/him/his,0,0
571,6394,she/her,0,0
572,6526,he/him/his,0,0
573,785,he/him/his,-1,0
574,2720,she/her,0,0
575,833,he/him/his,0,0
576,834,he/him/his,1,1
577,6654,she/her,-1,0
578,2802,she/her,0,0
579,851,he/him/his,0,0
580,862,she/her,0,0
581,6779,they/them/their,1,2
582,6796,she/her,0,0
583,6810,he/him/his,0,0
584,2952,she/her,0,-1
585,6860,she/her,0,1
586,893,they/them/their,0,0
587,3156,they/them/their,0,0
588,934,she/her,0,0
589,7089,they/them/their,0,0
590,3432,they/them/their,0,2
591,3454,they/them/their,0,0
592,981,she/her,1,1
593,3581,she/her,0,0
594,7364,they/them/their,-1,0
595,1028,she/her,3,3
596,1031,he/him/his,1,1
597,7443,he/him/his,0,1
598,1046,she/her,0,0
599,7518,she/her,0,0
600,7528,they/them/their,0,0
601,3873,they/them/their,0,0
602,1075,they/them/their,0,0
603,7635,he/him/his,1,1
604,1095,she/her,1,3
605,1101,they/them/their,0,0
606,4054,she/her,0,1
607,4079,they/them/their,1,2
608,7851,they/them/their,0,0
609,7861,she/her,1,1
610,4175,he/him/his,1,1
611,4222,she/her,1,0
612,4249,she/her,1,1
613,4333,she/her,0,3
614,7972,he/him/his,0,0
615,4803,he/him/his,0,0
616,1210,he/him/his,0,0
617,1220,he/him/his,0,1
618,1239,he/him/his,0,0
619,1264,he/him/his,-1,-1
620,1279,he/him/his,0,0
621,1287,she/her,-1,-1
622,4954,he/him/his,2,0
623,8473,he/him/his,0,0
624,4998,he/him/his,1,-1
625,8529,he/him/his,0,0
626,1322,he/him/his,0,0
627,1344,she/her,0,0
628,1349,he/him/his,0,0
629,5262,he/him/his,1,1
630,5332,he/him/his,0,0
631,8691,they/them/their,0,0
632,1371,they/them/their,0,-1
633,1397,he/him/his,0,0
634,1405,they/them/their,0,0
635,9110,he/him/his,1,1
636,5589,he/him/his,1,1
637,5601,he/him/his,1,1
638,5631,they/them/their,0,0
639,5736,they/them/their,2,3
640,1564,they/them/their,0,0
641,1575,they/them/their,0,0
642,1594,he/him/his,1,2
643,1672,they/them/their,1,2
644,5946,they/them/their,1,1
645,5963,he/him/his,0,0
646,5995,they/them/their,0,1
647,574,he/him/his,-1,0
648,577,she/her,0,1
649,580,they/them/their,0,0
650,1933,he/him/his,0,-1
651,1848,they/them/their,0,0
652,2052,they/them/their,2,2
653,2072,she/her,0,0
654,620,she/her,1,1
655,6098,he/him/his,-1,0
656,2118,he/him/his,0,0
657,2123,they/them/their,0,0
658,2144,she/her,0,0
659,2157,she/her,0,0
660,2242,they/them/their,0,0
661,2295,they/them/their,0,0
662,647,he/him/his,0,1
663,681,they/them/their,1,-1
664,2368,he/him/his,0,0
665,2413,they/them/their,0,0
666,700,he/him/his,-1,-2
667,2479,they/them/their,0,0
668,6223,he/him/his,0,1
669,2554,she/her,0,0
670,6294,she/her,1,1
671,2590,she/her,0,0
672,2606,they/them/their,1,-1
673,754,he/him/his,1,2
674,6365,he/him/his,3,3
675,761,he/him/his,-1,1
676,762,she/her,1,1
677,6402,they/them/their,1,1
678,770,he/him/his,0,0
679,2678,they/them/their,0,0
680,778,he/him/his,0,0
681,2716,he/him/his,-1,0
682,6547,they/them/their,1,1
683,2729,they/them/their,-1,0
684,815,he/him/his,0,0
685,818,he/him/his,0,-1
686,820,he/him/his,1,1
687,6625,they/them/their,-1,1
688,831,he/him/his,-1,0
689,852,she/her,0,0
690,863,they/them/their,0,0
691,871,he/him/his,0,0
692,6881,they/them/their,0,0
693,6888,they/them/their,0,0
694,6889,he/him/his,-1,1
695,3008,she/her,0,0
696,6917,he/him/his,0,0
697,3070,he/him/his,0,0
698,911,they/them/their,1,1
699,914,she/her,0,0
700,916,she/her,-1,0
701,3277,they/them/their,0,0
702,929,they/them/their,0,0
703,3303,she/her,2,2
704,7090,they/them/their,0,0
705,7093,he/him/his,0,0
706,7180,they/them/their,0,0
707,3399,they/them/their,0,-1
708,3404,they/them/their,0,-1
709,3464,they/them/their,0,0
710,989,they/them/their,0,0
711,3621,he/him/his,0,0
712,1035,he/him/his,0,1
713,3636,she/her,0,0
714,1040,they/them/their,0,0
715,7456,they/them/their,1,0
716,3644,they/them/their,1,1
717,7474,they/them/their,0,0
718,1051,he/him/his,0,0
719,1053,they/them/their,2,1
720,7546,he/him/his,0,0
721,7556,they/them/their,1,1
722,3746,he/him/his,0,0
723,1085,they/them/their,0,0
724,3964,they/them/their,0,0
725,1104,she/her,0,0
726,1105,she/her,0,0
727,7682,they/them/their,0,0
728,7729,she/her,0,0
729,4039,they/them/their,3,2
730,1125,he/him/his,0,-1
731,7823,he/him/his,0,0
732,4101,he/him/his,0,0
733,1130,he/him/his,0,0
734,4312,she/her,1,1
735,1165,she/her,0,0
736,1190,she/her,0,0
737,1191,he/him/his,0,-1
738,1196,he/him/his,0,0
739,4860,he/him/his,0,0
740,8179,they/them/their,0,0
741,1269,they/them/their,0,0
742,8396,they/them/their,0,0
743,1304,she/her,0,0
744,1310,she/her,0,0
745,1313,he/him/his,0,0
746,1319,they/them/their,0,0
747,8559,he/him/his,0,0
748,5048,he/him/his,0,0
749,5059,they/them/their,-1,0
750,1333,he/him/his,1,1
751,8625,they/them/their,1,1
752,5188,they/them/their,0,0
753,1346,she/her,0,0
754,8764,they/them/their,-1,0
755,5215,they/them/their,0,1
756,5367,he/him/his,0,0
757,1384,he/him/his,0,0
758,8967,he/him/his,-1,0
759,1396,he/him/his,0,0
760,5471,he/him/his,0,0
761,5502,they/them/their,0,1
762,5557,he/him/his,2,1
763,1436,she/her,0,0
764,5751,he/him/his,0,0
765,5761,she/her,0,1
766,1455,she/her,0,0
767,498,he/him/his,0,0
768,1539,she/her,0,0
769,1559,he/him/his,0,0
770,1596,they/them/their,0,0
771,520,she/her,0,0
772,1701,he/him/his,0,0
773,5924,they/them/their,0,0
774,1717,he/him/his,0,0
775,1723,they/them/their,-1,0
776,1732,she/her,0,0
777,1767,she/her,0,0
778,1822,they/them/their,0,0
779,576,she/her,0,0
780,586,she/her,0,0
781,589,she/her,1,1
782,590,she/her,0,0
783,602,she/her,0,0
784,607,they/them/their,0,0
785,2036,they/them/their,-1,0
786,611,she/her,0,0
787,2055,she/her,1,1
788,617,he/him/his,0,0
789,619,she/her,3,3
790,6095,they/them/their,-1,0
791,2145,she/her,0,0
792,628,she/her,0,0
793,2219,he/him/his,0,0
794,2250,they/them/their,0,0
795,2254,he/him/his,0,0
796,639,she/her,1,1
797,2290,he/him/his,-1,1
798,646,she/her,0,0
799,657,she/her,0,0
800,670,they/them/their,0,0
801,2350,they/them/their,1,2
802,691,they/them/their,0,0
803,2419,he/him/his,0,0
804,6186,he/him/his,0,0
805,1690,they/them/their,0,0
806,2426,he/him/his,-1,0
807,6202,he/him/his,3,2
808,696,they/them/their,0,0
809,699,he/him/his,0,0
810,706,they/them/their,0,0
811,707,he/him/his,0,0
812,711,he/him/his,-1,-1
813,2518,they/them/their,1,1
814,715,they/them/their,0,0
815,2571,he/him/his,1,1
816,2577,they/them/their,1,0
817,734,she/her,0,1
818,2585,he/him/his,0,0
819,745,he/him/his,0,0
820,2674,she/her,0,0
821,6458,they/them/their,0,0
822,773,she/her,0,0
823,2711,she/her,0,0
824,6531,they/them/their,0,0
825,2741,he/him/his,1,0
826,6579,they/them/their,0,0
827,806,they/them/their,0,0
828,6604,they/them/their,0,-2
829,822,he/him/his,0,0
830,6628,she/her,0,1
831,6647,they/them/their,0,0
832,2763,he/him/his,0,0
833,6675,they/them/their,0,0
834,848,he/him/his,0,-1
835,6693,he/him/his,1,1
836,6714,they/them/their,0,1
837,2834,he/him/his,0,0
838,83,he/him/his,0,0
839,2920,they/them/their,0,0
840,6848,he/him/his,0,0
841,878,she/her,0,0
842,6867,they/them/their,-1,-1
843,2997,they/them/their,2,1
844,905,he/him/his,0,0
845,3036,she/her,-1,1
846,3059,she/her,0,2
847,3108,he/him/his,0,0
848,3120,she/her,0,0
849,3185,she/her,0,0
850,3195,she/her,0,0
851,3247,they/them/their,0,0
852,3267,he/him/his,1,1
853,925,he/him/his,0,0
854,932,they/them/their,0,0
855,7016,they/them/their,0,0
856,7019,they/them/their,0,0
857,206,they/them/their,0,0
858,935,she/her,0,0
859,7067,he/him/his,0,0
860,7072,they/them/their,0,0
861,938,she/her,0,0
862,7124,they/them/their,0,0
863,948,he/him/his,0,1
864,963,he/him/his,0,0
865,969,she/her,0,0
866,7227,they/them/their,0,0
867,3398,he/him/his,0,0
868,3408,they/them/their,0,0
869,3505,they/them/their,-1,0
870,986,they/them/their,0,0
871,7269,they/them/their,0,0
872,997,he/him/his,0,0
873,1002,she/her,0,0
874,1003,he/him/his,0,0
875,1004,he/him/his,0,0
876,1012,he/him/his,0,0
877,1013,he/him/his,0,0
878,1015,he/him/his,0,0
879,1021,he/him/his,0,0
880,7406,they/them/their,0,0
881,3634,she/her,0,0
882,3676,they/them/their,2,2
883,7484,he/him/his,0,0
884,3709,they/them/their,-1,1
885,3738,they/them/their,0,0
886,1055,they/them/their,0,0
887,1056,she/her,0,0
888,7552,they/them/their,0,0
889,7555,he/him/his,2,2
890,3768,he/him/his,0,0
891,3791,he/him/his,0,0
892,3836,she/her,0,0
893,1065,he/him/his,-1,0
894,1067,he/him/his,0,0
895,1069,he/him/his,0,0
896,7622,they/them/their,0,1
897,1076,they/them/their,0,0
898,3893,she/her,-1,1
899,3906,she/her,0,0
900,1086,he/him/his,0,0
901,1087,she/her,0,0
902,3941,they/them/their,0,0
903,7663,they/them/their,0,0
904,1107,she/her,0,0
905,4008,she/her,1,-1
906,4014,she/her,-2,0
907,7696,he/him/his,0,0
908,7726,he/him/his,0,0
909,1110,he/him/his,0,0
910,1129,he/him/his,-1,0
911,95,he/him/his,0,0
912,4236,they/them/their,2,2
913,4257,they/them/their,0,0
914,7897,he/him/his,0,0
915,7898,he/him/his,0,0
916,7908,they/them/their,1,1
917,1159,she/her,0,0
918,4468,he/him/his,-1,1
919,4510,he/him/his,0,0
920,4512,he/him/his,0,1
921,4540,he/him/his,1,1
922,1177,he/him/his,0,0
923,8074,they/them/their,0,0
924,4686,he/him/his,0,0
925,4721,he/him/his,1,1
926,4765,he/him/his,0,0
927,1209,he/him/his,0,0
928,1213,he/him/his,0,0
929,1222,they/them/their,0,-1
930,1236,she/her,0,0
931,4855,they/them/their,0,1
932,1238,he/him/his,0,0
933,4873,they/them/their,0,0
934,4880,he/him/his,0,0
935,1265,he/him/his,0,0
936,4922,he/him/his,0,0
937,8239,he/him/his,-1,0
938,1274,he/him/his,-1,0
939,1275,they/them/their,3,3
940,1276,he/him/his,0,0
941,8361,he/him/his,0,0
942,4959,he/him/his,0,0
943,8468,they/them/their,0,0
944,8491,he/him/his,0,0
945,1315,he/him/his,0,0
946,5152,they/them/their,0,0
947,5174,he/him/his,-1,0
948,8693,they/them/their,0,0
949,5195,he/him/his,0,0
950,1354,she/her,0,0
951,411,he/him/his,0,0
952,1366,she/her,0,0
953,5323,they/them/their,0,0
954,5334,they/them/their,0,0
955,1374,he/him/his,0,0
956,1379,he/him/his,0,0
957,1380,he/him/his,0,0
958,8913,he/him/his,0,0
959,8940,they/them/their,0,0
960,1391,he/him/his,0,0
961,5401,they/them/their,0,0
962,1393,she/her,1,1
963,1394,she/her,0,0
964,5475,they/them/their,1,1
965,9057,they/them/their,0,2
966,9117,they/them/their,0,0
967,5518,they/them/their,0,0
968,5526,they/them/their,0,2
969,5566,they/them/their,0,0
970,1453,he/him/his,0,0
