,character,gender,power_score,agency_score,dom_score
152,5245,they/them/their,0,3,0.01200000000000001
153,5537,they/them/their,0,0,-0.6060000000000001
154,2443,he/him/his,-1,-3,2.3280000000000003
155,922,he/him/his,1,-1,-0.33799999999999997
156,3047,she/her,-2,1,-0.07600000000000004
157,7492,she/her,-2,0,0.31399999999999995
158,3274,he/him/his,0,1,1.8039999999999998
159,5099,he/him/his,0,1,1.24
160,534,he/him/his,-1,-1,-0.05799999999999994
161,1685,she/her,-3,-1,1.0220000000000002
162,724,he/him/his,1,-1,-1.2400000000000002
163,1041,she/her,-1,2,0.356
164,5054,she/her,1,1,0.9820000000000001
165,492,he/him/his,1,1,0.502
166,5180,he/him/his,1,0,-0.954
167,523,he/him/his,0,0,-0.168
168,5381,he/him/his,1,1,-1.172
169,1844,he/him/his,2,1,0.21600000000000005
170,635,she/her,0,1,2.286
171,752,she/her,1,1,-0.33399999999999996
172,2342,he/him/his,-4,0,0.51
173,2701,she/her,-1,0,-0.274
174,932,she/her,0,0,-1.57
175,460,he/him/his,2,-2,0.158
176,4894,he/him/his,1,1,0.16599999999999998
177,1639,they/them/their,2,4,-0.856
178,1647,he/him/his,1,1,-1.8299999999999998
179,5425,she/her,1,2,-0.27599999999999997
180,605,she/her,0,1,1.172
181,628,they/them/their,2,0,1.796
182,6113,she/her,-2,-1,-0.388
183,819,he/him/his,2,3,0.894
184,2364,she/her,1,1,1.0659999999999998
185,855,he/him/his,1,0,1.4940000000000002
186,874,she/her,0,-1,-0.7080000000000002
187,3335,he/him/his,3,4,0.7019999999999998
188,3592,he/him/his,1,1,-0.9400000000000002
189,3880,he/him/his,1,2,-0.13
190,1237,she/her,3,4,0.4959999999999999
191,1263,she/her,1,1,-0.39800000000000024
192,5123,he/him/his,0,2,1.5059999999999998
193,513,he/him/his,0,2,0.17200000000000001
194,1673,she/her,2,3,-0.7659999999999999
195,565,he/him/his,2,1,0.45599999999999996
196,5611,they/them/their,4,4,-0.556
197,1839,she/her,2,2,-1.5919999999999999
198,771,she/her,0,0,1.29
199,2339,they/them/their,0,0,0.36599999999999994
200,2690,he/him/his,0,1,-0.266
201,3294,they/them/their,1,0,0.5559999999999999
202,3716,they/them/their,2,2,0.182
203,4277,she/her,2,2,1.3679999999999999
204,4608,he/him/his,6,4,0.10200000000000004
205,457,he/him/his,3,3,2.142
206,486,he/him/his,1,1,-1.016
207,5672,they/them/their,0,1,0.214
208,1771,they/them/their,2,2,0.522
209,866,he/him/his,-1,-1,-0.17599999999999996
210,2637,he/him/his,1,1,0.41600000000000004
211,2851,they/them/their,0,1,0.0
212,3472,she/her,1,-1,-0.484
213,3874,he/him/his,0,1,1.6440000000000001
214,8310,he/him/his,1,1,-0.784
215,541,she/her,0,0,-0.9019999999999999
216,1845,he/him/his,-1,-1,-0.222
217,916,he/him/his,1,-1,0.5479999999999999
218,2772,she/her,1,1,0.668
219,940,he/him/his,1,0,0.15800000000000003
220,3628,she/her,-1,-1,0.43200000000000005
221,1060,he/him/his,0,0,-1.6019999999999999
222,1184,they/them/their,0,1,-0.952
223,4335,she/her,0,0,0.556
224,4362,she/her,0,0,0.6359999999999999
225,4453,they/them/their,2,3,0.5660000000000001
226,5122,he/him/his,-2,0,1.222
227,5325,she/her,0,0,0.35800000000000004
228,593,she/her,0,0,-0.056
229,1696,she/her,-1,-1,-0.146
230,595,he/him/his,1,1,1.5120000000000002
231,620,he/him/his,0,0,-1.082
232,700,he/him/his,1,-1,0.056
233,95,she/her,-1,1,1.604
234,982,she/her,0,0,-0.402
235,7437,he/him/his,0,0,-0.974
236,7680,they/them/their,1,2,0.04199999999999998
237,1021,he/him/his,0,1,1.222
238,1032,he/him/his,2,-2,0.41800000000000004
239,1036,he/him/his,-1,-1,3.0200000000000005
240,3753,they/them/their,0,3,0.744
241,1100,he/him/his,1,3,-0.082
242,4228,she/her,1,1,0.20600000000000002
243,1283,he/him/his,2,5,0.838
244,1437,they/them/their,0,-1,0.0
245,502,she/her,2,1,-0.6619999999999999
246,1579,they/them/their,0,0,0.46599999999999997
247,539,he/him/his,0,1,1.418
248,5589,they/them/their,1,1,0.0
249,596,he/him/his,0,0,-0.9680000000000001
250,616,he/him/his,0,0,0.9540000000000001
251,1912,they/them/their,2,1,1.22
252,736,he/him/his,0,1,0.5720000000000001
253,2254,they/them/their,-1,0,0.596
254,805,he/him/his,1,0,1.214
255,6740,they/them/their,-1,1,1.52
256,919,he/him/his,1,1,0.13999999999999996
257,2960,she/her,1,-1,0.37
258,964,she/her,0,-1,-0.15000000000000002
259,7645,she/her,0,0,1.0219999999999998
260,1024,she/her,1,1,1.26
261,3624,he/him/his,0,1,-0.17200000000000001
262,1067,he/him/his,0,0,0.61
263,4040,he/him/his,1,1,-0.44999999999999996
264,4057,they/them/their,-1,0,1.112
265,4489,she/her,-1,1,0.72
266,526,he/him/his,2,2,0.9059999999999999
267,652,she/her,1,1,-0.9299999999999999
268,693,he/him/his,1,1,0.392
269,2284,she/her,0,0,-0.892
270,809,he/him/his,0,0,0.356
271,2456,they/them/their,0,0,0.368
272,885,he/him/his,0,0,0.6639999999999999
273,7140,she/her,2,2,0.146
274,939,he/him/his,0,1,1.7279999999999998
275,7447,he/him/his,0,3,0.29200000000000004
276,1059,he/him/his,5,3,0.0
277,1080,he/him/his,-1,3,-0.6819999999999999
278,1127,they/them/their,0,2,1.818
279,4289,she/her,-1,0,1.4300000000000002
280,1493,she/her,1,1,-0.108
281,5249,she/her,4,6,-0.392
282,5370,he/him/his,0,0,-0.32799999999999996
283,5600,he/him/his,1,1,0.648
284,625,he/him/his,-1,0,0.6080000000000001
285,1813,she/her,0,2,0.164
286,677,she/her,0,0,-0.516
287,680,he/him/his,-1,0,1.9720000000000004
288,683,he/him/his,0,0,0.322
289,2006,she/her,1,1,0.54
290,2021,he/him/his,-1,1,0.025999999999999995
291,2047,he/him/his,0,0,0.816
292,748,she/her,1,0,0.254
293,2094,he/him/his,0,1,-0.888
294,774,he/him/his,0,1,0.28200000000000003
295,831,they/them/their,1,0,-0.104
296,2476,they/them/their,1,1,0.44199999999999995
297,2575,he/him/his,0,1,-0.5599999999999999
298,6924,he/him/his,-1,-1,-0.09600000000000003
299,923,she/her,0,0,2.198
300,7288,he/him/his,1,4,-0.12799999999999995
301,962,he/him/his,-1,1,2.8739999999999997
302,977,she/her,0,0,0.23
303,979,she/her,-1,2,-0.45999999999999996
304,1005,he/him/his,0,2,1.112
305,1112,he/him/his,2,1,-0.20800000000000002
306,1125,he/him/his,0,1,0.172
307,4599,he/him/his,-1,-1,0.21200000000000002
308,4792,he/him/his,1,3,-0.16
309,4908,they/them/their,0,0,-0.146
310,476,he/him/his,0,1,-0.476
311,1439,they/them/their,1,2,0.068
312,1473,she/her,0,1,-0.146
313,546,she/her,-1,0,0.0
314,5452,she/her,0,0,1.256
315,5480,they/them/their,2,1,0.17
316,5488,they/them/their,-2,1,-0.31
317,1713,she/her,3,1,-0.07200000000000001
318,1730,they/them/their,0,0,0.31199999999999994
319,604,he/him/his,1,1,0.626
320,1784,they/them/their,2,5,0.0
321,1816,she/her,-1,0,-0.178
322,697,he/him/his,1,1,0.242
323,2069,he/him/his,0,0,1.3439999999999999
324,786,she/her,0,0,-0.724
325,2587,he/him/his,0,0,-0.028
326,3087,he/him/his,-2,1,1.376
327,3182,they/them/their,0,1,0.828
328,7618,he/him/his,0,1,1.234
329,3236,he/him/his,0,0,1.028
330,3445,he/him/his,1,1,-0.5499999999999999
331,3498,he/him/his,1,-1,1.44
332,1128,he/him/his,0,2,0.006000000000000005
333,3867,he/him/his,2,-1,-0.688
334,1169,he/him/his,0,0,-0.492
335,4162,he/him/his,0,0,-0.338
336,4345,he/him/his,-1,0,0.214
337,4355,he/him/his,0,0,0.001999999999999974
338,1216,he/him/his,1,1,-0.92
339,4412,he/him/his,-1,0,-0.22999999999999998
340,1252,he/him/his,0,0,0.30399999999999994
341,4647,they/them/their,1,4,0.436
342,4717,he/him/his,4,6,0.11599999999999999
343,1377,he/him/his,0,1,1.714
344,467,he/him/his,0,1,0.0
345,4905,they/them/their,0,3,0.0
346,477,she/her,0,0,0.10400000000000004
347,490,he/him/his,0,0,-0.12200000000000003
348,1541,they/them/their,0,0,-0.592
349,5217,she/her,0,0,-0.158
350,1620,he/him/his,2,2,-0.8760000000000001
351,5350,she/her,0,0,0.24000000000000002
352,553,she/her,5,6,0.0
353,5504,they/them/their,0,1,0.45
354,5599,she/her,0,0,0.18
355,601,he/him/his,0,0,0.0
356,5766,they/them/their,0,1,-0.46399999999999997
357,5774,he/him/his,0,0,-0.428
358,1812,they/them/their,2,3,0.0
359,1829,he/him/his,2,0,0.82
360,5833,she/her,0,0,0.03800000000000003
361,1933,they/them/their,0,0,0.172
362,665,he/him/his,0,0,0.906
363,714,he/him/his,0,0,0.172
364,2146,he/him/his,0,0,0.2599999999999999
365,812,he/him/his,0,1,1.082
366,6491,he/him/his,-1,0,0.894
367,867,he/him/his,0,0,-0.132
368,2704,she/her,0,0,0.348
369,2821,he/him/his,4,0,0.0
370,926,they/them/their,2,2,0.614
371,2834,they/them/their,1,1,0.38
372,7131,they/them/their,0,0,1.568
373,2883,she/her,0,0,1.392
374,947,she/her,1,1,-0.09
375,949,she/her,2,3,1.1920000000000002
376,1055,she/her,-1,-1,0.71
377,1063,he/him/his,1,2,-0.258
378,1084,he/him/his,-1,0,-0.346
379,1251,she/her,-1,1,-0.29800000000000004
380,463,she/her,0,0,-0.27
381,1428,they/them/their,0,0,0.374
382,507,she/her,0,0,0.018
383,511,he/him/his,0,0,0.8340000000000001
384,574,he/him/his,0,0,-0.09000000000000002
385,5602,he/him/his,-1,0,-0.11000000000000001
386,599,she/her,0,0,0.112
387,5722,they/them/their,0,1,-0.51
388,622,she/her,1,3,0.0
389,1899,he/him/his,1,-1,-0.20599999999999996
390,660,he/him/his,-1,-1,0.11600000000000002
391,664,she/her,-2,1,-0.136
392,772,he/him/his,1,1,0.04200000000000001
393,2250,she/her,1,0,0.322
394,6394,he/him/his,-1,-1,1.4900000000000002
395,2359,she/her,0,0,0.278
396,2368,he/him/his,1,1,2.378
397,2397,he/him/his,-3,0,0.6280000000000001
398,2419,they/them/their,0,0,0.2740000000000002
399,6601,they/them/their,0,0,0.984
400,2577,they/them/their,1,1,0.648
401,2613,they/them/their,-1,-2,-0.472
402,2636,they/them/their,1,0,-0.612
403,2758,she/her,0,0,0.524
404,2787,they/them/their,1,1,-0.48
405,7133,she/her,2,2,0.116
406,2937,she/her,1,-1,-0.02199999999999991
407,991,he/him/his,0,0,0.428
408,1042,she/her,1,-2,-0.226
409,3739,they/them/their,-2,1,0.0
410,3812,he/him/his,1,1,-0.21999999999999997
411,8075,he/him/his,3,1,0.628
412,4044,she/her,0,0,0.294
413,1208,she/her,0,0,1.01
414,1214,he/him/his,1,1,0.0
415,4548,she/her,3,-2,2.25
416,8519,he/him/his,1,0,1.026
417,4639,he/him/his,2,0,-0.644
418,1411,he/him/his,2,2,1.12
419,474,he/him/his,0,0,-0.604
420,5225,he/him/his,1,1,1.554
421,1612,he/him/his,-1,1,0.224
422,5318,they/them/their,0,0,0.624
423,550,he/him/his,0,0,-0.354
424,5348,he/him/his,1,1,-0.406
425,5445,she/her,0,0,0.6479999999999999
426,570,she/her,1,2,0.45000000000000007
427,1851,he/him/his,0,1,0.0
428,1917,she/her,0,0,-0.192
429,1959,she/her,1,0,0.9139999999999999
430,5909,they/them/their,1,1,-0.91
431,6054,he/him/his,0,0,-0.392
432,2022,she/her,-1,0,1.3900000000000001
433,6265,they/them/their,-1,0,-0.504
434,780,she/her,0,0,0.726
435,2319,he/him/his,0,1,0.0
436,6363,they/them/their,0,0,-0.408
437,6443,he/him/his,0,0,0.8440000000000001
438,842,she/her,1,1,0.346
439,6614,they/them/their,0,0,0.5619999999999999
440,6696,they/them/their,0,0,-1.6320000000000001
441,2626,they/them/their,1,2,-1.52
442,6748,she/her,0,0,1.122
443,6795,she/her,-1,1,0.254
444,935,she/her,0,0,0.5720000000000001
445,7507,she/her,0,0,-0.604
446,3629,he/him/his,1,-1,-0.33199999999999996
447,1083,he/him/his,0,-1,-0.396
448,3829,he/him/his,-1,0,0.986
449,1144,he/him/his,0,0,0.434
450,1171,he/him/his,1,1,-0.5199999999999999
451,1185,he/him/his,0,0,-0.04
452,4365,she/her,0,0,1.2
453,4366,she/her,1,2,1.174
454,4986,they/them/their,0,0,0.11599999999999996
455,5017,she/her,1,1,0.47400000000000003
456,5078,he/him/his,0,0,0.0
457,1504,he/him/his,0,1,0.22799999999999998
458,5261,they/them/their,-1,1,0.352
459,1608,they/them/their,0,0,0.018
460,1630,he/him/his,0,0,1.156
461,5546,they/them/their,0,0,0.0
462,1684,he/him/his,0,1,1.3419999999999999
463,602,she/her,0,1,-0.778
464,1704,he/him/his,-1,2,0.0
465,5692,they/them/their,0,2,0.0
466,621,she/her,1,1,-0.312
467,1853,they/them/their,0,1,0.586
468,658,he/him/his,0,0,0.0
469,5895,they/them/their,0,0,0.38
470,741,he/him/his,0,0,0.558
471,6160,he/him/his,0,0,-0.018
472,2203,he/him/his,1,2,0.30199999999999994
473,2206,he/him/his,0,-1,0.116
474,2219,they/them/their,0,-1,-0.034
475,2222,they/them/their,0,0,0.918
476,6317,they/them/their,0,3,0.0
477,2271,they/them/their,0,-2,0.0
478,2280,they/them/their,1,2,0.0
479,2291,she/her,0,0,0.21400000000000002
480,2327,she/her,1,1,0.874
481,6433,they/them/their,0,0,-0.214
482,2489,she/her,1,1,-0.436
483,2533,he/him/his,-1,0,0.34
484,845,she/her,1,1,-0.768
485,2686,they/them/their,1,0,0.166
486,876,she/her,-1,2,0.634
487,2839,they/them/their,2,2,1.018
488,943,he/him/his,2,3,-0.21
489,953,she/her,2,2,0.31
490,955,he/him/his,0,-1,-0.272
491,959,he/him/his,0,0,-0.7240000000000001
492,3163,she/her,1,2,0.732
493,7575,she/her,0,1,0.0
494,7606,he/him/his,0,1,-0.486
495,1029,she/her,0,0,0.876
496,3478,they/them/their,0,2,0.34
497,1045,they/them/their,1,1,-0.122
498,3779,he/him/his,0,1,-0.007999999999999986
499,1142,he/him/his,0,2,0.11600000000000002
500,8170,he/him/his,0,0,0.538
501,4098,they/them/their,0,0,0.45
502,1191,she/her,0,-1,1.018
503,4367,she/her,1,1,-0.37
504,4452,she/her,2,1,-0.0020000000000000018
505,1235,he/him/his,0,0,0.262
506,8555,he/him/his,0,0,-0.654
507,4637,they/them/their,-1,-1,-0.4059999999999999
508,4771,she/her,0,0,-0.186
509,1265,he/him/his,0,0,1.136
510,4897,they/them/their,0,0,0.0
511,470,he/him/his,0,0,0.256
512,15,he/him/his,0,0,-0.094
513,4937,he/him/his,0,0,-0.42000000000000004
514,482,she/her,0,0,-0.16
515,498,he/him/his,0,0,0.908
516,504,he/him/his,0,0,0.0
517,519,he/him/his,0,0,-0.564
518,527,he/him/his,1,1,-0.21200000000000002
519,5226,they/them/their,1,1,0.0
520,533,she/her,1,1,-0.8820000000000001
521,1621,she/her,0,0,0.218
522,5484,he/him/his,0,0,0.306
523,568,he/him/his,1,1,0.5419999999999999
524,584,she/her,0,0,0.0
525,1742,they/them/their,0,1,0.0
526,1789,they/them/their,0,0,0.314
527,1840,they/them/their,-2,3,0.122
528,651,he/him/his,0,1,-0.37
529,5841,they/them/their,-1,0,-0.9159999999999999
530,1989,she/her,0,0,0.998
531,687,she/her,0,3,0.0
532,691,she/her,1,1,0.0
533,757,she/her,1,2,-0.428
534,808,he/him/his,0,0,0.6040000000000001
535,816,he/him/his,0,0,-0.056
536,2333,she/her,2,3,0.596
537,2437,he/him/his,0,0,0.774
538,2655,she/her,0,0,1.028
539,2703,she/her,0,2,-0.592
540,2713,she/her,0,0,0.5760000000000001
541,924,he/him/his,0,0,0.10399999999999998
542,2817,he/him/his,1,1,0.116
543,2828,they/them/their,1,1,-0.42200000000000004
